perovskite_formula,current_density,repetition_index,VRHE,RA,RB,t,mu,QA,Nd,XA,XB,mu_t
PrFeO3,0.05,rep6,1.619,1.37,0.55,1.012279181,0.407407407,3.0,5.0,1.13,1.83,0.402465461
PrFeO3,0.05,rep7,1.62,1.37,0.55,1.012279181,0.407407407,3.0,5.0,1.13,1.83,0.402465461
PrFeO3,0.05,rep8,1.621,1.37,0.55,1.012279181,0.407407407,3.0,5.0,1.13,1.83,0.402465461
PrFeO3,0.05,rep9,1.798,1.37,0.55,1.012279181,0.407407407,3.0,5.0,1.13,1.83,0.402465461
PrFeO3,0.05,rep10,1.752,1.37,0.55,1.012279181,0.407407407,3.0,5.0,1.13,1.83,0.402465461
PrFeO3,0.05,rep11,1.76,1.37,0.55,1.012279181,0.407407407,3.0,5.0,1.13,1.83,0.402465461
PrFeO3,0.05,rep12,1.752,1.37,0.55,1.012279181,0.407407407,3.0,5.0,1.13,1.83,0.402465461
LaCoO3,0.05,rep1,1.598,1.36,0.545,1.011218669,0.403703704,3.0,6.0,1.1,1.88,0.399224931
LaCoO3,0.05,rep2,1.603,1.36,0.545,1.011218669,0.403703704,3.0,6.0,1.1,1.88,0.399224931
LaCoO3,0.05,rep3,1.597,1.36,0.545,1.011218669,0.403703704,3.0,6.0,1.1,1.88,0.399224931
LaCoO3,0.05,rep4,1.6,1.36,0.545,1.011218669,0.403703704,3.0,6.0,1.1,1.88,0.399224931
LaCoO3,0.05,rep5,1.597,1.36,0.545,1.011218669,0.403703704,3.0,6.0,1.1,1.88,0.399224931
LaCoO3,0.05,rep6,1.602,1.36,0.545,1.011218669,0.403703704,3.0,6.0,1.1,1.88,0.399224931
LaCoO3,0.05,rep7,1.6,1.36,0.545,1.011218669,0.403703704,3.0,6.0,1.1,1.88,0.399224931
LaCoO3,0.05,rep8,1.602,1.36,0.545,1.011218669,0.403703704,3.0,6.0,1.1,1.88,0.399224931
LaCoO3,0.05,rep9,1.799,1.36,0.545,1.011218669,0.403703704,3.0,6.0,1.1,1.88,0.399224931
LaCoO3,0.05,rep10,1.721,1.36,0.545,1.011218669,0.403703704,3.0,6.0,1.1,1.88,0.399224931
LaCoO3,0.05,rep11,1.721,1.36,0.545,1.011218669,0.403703704,3.0,6.0,1.1,1.88,0.399224931
LaCoO3,0.05,rep12,1.73,1.36,0.545,1.011218669,0.403703704,3.0,6.0,1.1,1.88,0.399224931
La0.5Ca0.5CoO3,0.05,rep1,1.562,1.35,0.5375,1.011490495,0.398148148,2.5,5.5,1.05,1.88,0.3936252
La0.5Ca0.5CoO3,0.05,rep2,1.56,1.35,0.5375,1.011490495,0.398148148,2.5,5.5,1.05,1.88,0.3936252
La0.5Ca0.5CoO3,0.05,rep3,1.561,1.35,0.5375,1.011490495,0.398148148,2.5,5.5,1.05,1.88,0.3936252
